年月別,商品性質別分類,原始值,年增率[%]
89年3月,服務類-外食費,77.35,-0.26
89年3月,服務類-衣著,84.29,1.63
89年3月,服務類-居住,99.14,0.44
89年3月,服務類-交通及通訊,89.19,3.49
89年3月,服務類-醫藥保健,76,10.79
89年3月,服務類-教養娛樂,67.29,4.21
89年3月,服務類-教養,84.93,2.25
89年3月,服務類-娛樂,52.37,6.68
89年3月,服務類-雜項,90.32,8.3
89年4月,總指數[含食物],83.76,1.84
89年4月,商品類[含食物],81.14,1
89年4月,商品類[不含食物],104.38,1.49
89年4月,商品類-非耐久性消費品[含食物],66.58,1.46
89年4月,商品類-非耐久性消費品[不含食物],86.93,3.75
89年4月,商品類-半耐久性消費品,101.11,0.32
89年4月,商品類-耐久性消費品,146,0.24
89年4月,服務類,85.64,2.45
89年4月,服務類[不含食物],87.61,2.79
89年4月,服務類-外食費,76.53,0.54
89年4月,服務類-衣著,84.29,1.63
89年4月,服務類-居住,99.14,0.44
89年4月,服務類-交通及通訊,89.39,3.59
89年4月,服務類-醫藥保健,75.97,10.74
89年4月,服務類-教養娛樂,67.71,4.23
89年4月,服務類-教養,84.93,2.25
89年4月,服務類-娛樂,53.1,6.73
89年4月,服務類-雜項,90.32,8.3
89年5月,總指數[含食物],84.35,2.23
89年5月,商品類[含食物],82.24,1.69
89年5月,商品類[不含食物],104.13,1.23
89年5月,商品類-非耐久性消費品[含食物],68.29,2.83
89年5月,商品類-非耐久性消費品[不含食物],87.25,3.72
89年5月,商品類-半耐久性消費品,100.09,-0.12
89年5月,商品類-耐久性消費品,145.86,-0.08
89年5月,服務類,85.84,2.63
89年5月,服務類[不含食物],87.91,2.92
89年5月,服務類-外食費,76.19,1.03
89年5月,服務類-衣著,84.29,1.63
89年5月,服務類-居住,99.18,0.57
89年5月,服務類-交通及通訊,89.93,4.11
89年5月,服務類-醫藥保健,75.97,10.74
89年5月,服務類-教養娛樂,68.33,4.02
89年5月,服務類-教養,86.06,3.61
89年5月,服務類-娛樂,53.33,4.53
89年5月,服務類-雜項,90.62,8.66
89年6月,總指數[含食物],84.43,1.83
89年6月,商品類[含食物],81.53,0.75
89年6月,商品類[不含食物],104.29,0.54
89年6月,商品類-非耐久性消費品[含食物],67.82,1.89
89年6月,商品類-非耐久性消費品[不含食物],89.38,3.44
89年6月,商品類-半耐久性消費品,97.95,-1.45
89年6月,商品類-耐久性消費品,145.9,-0.65
89年6月,服務類,86.53,2.65
89年6月,服務類[不含食物],88.59,3.32
89年6月,服務類-外食費,76.98,-1.13
89年6月,服務類-衣著,84.29,1.63
89年6月,服務類-居住,99.34,0.71
89年6月,服務類-交通及通訊,90.13,4.17
89年6月,服務類-醫藥保健,75.97,10.74
89年6月,服務類-教養娛樂,69.3,5.16
89年6月,服務類-教養,86.07,3.54
89年6月,服務類-娛樂,54.99,7.13
89年6月,服務類-雜項,93.5,9.18
89年7月,總指數[含食物],84,1.69
89年7月,商品類[含食物],80.39,0.74
89年7月,商品類[不含食物],102.72,0.96
89年7月,商品類-非耐久性消費品[含食物],67.22,1.57
89年7月,商品類-非耐久性消費品[不含食物],89.15,3.71
89年7月,商品類-半耐久性消費品,93.17,-1.1
89年7月,商品類-耐久性消費品,146.98,-0.04
89年7月,服務類,86.66,2.39
89年7月,服務類[不含食物],88.67,2.94
89年7月,服務類-外食費,77.32,-0.69
89年7月,服務類-衣著,86.31,4.06
89年7月,服務類-居住,99.18,0.18
89年7月,服務類-交通及通訊,90.66,4.27
89年7月,服務類-醫藥保健,76.18,11.05
89年7月,服務類-教養娛樂,70.57,4.97
89年7月,服務類-教養,87.12,4.81
89年7月,服務類-娛樂,56.39,5.15
89年7月,服務類-雜項,90.46,8.32
89年8月,總指數[含食物],84.26,0.87
89年8月,商品類[含食物],80.96,-0.63
89年8月,商品類[不含食物],101.74,0.92
89年8月,商品類-非耐久性消費品[含食物],68.45,-1.01
89年8月,商品類-非耐久性消費品[不含食物],88.6,2.46
89年8月,商品類-半耐久性消費品,91.24,-0.58
89年8月,商品類-耐久性消費品,146.71,0.68
89年8月,服務類,86.67,2
89年8月,服務類[不含食物],88.71,2.38
89年8月,服務類-外食費,77.14,-0.23
89年8月,服務類-衣著,86.31,4.06
89年8月,服務類-居住,99.22,0.22
89年8月,服務類-交通及通訊,91.46,5.19
89年8月,服務類-醫藥保健,76.18,0.63
89年8月,服務類-教養娛樂,70.34,3.55
89年8月,服務類-教養,87.17,4.86
89年8月,服務類-娛樂,55.97,2.06
89年8月,服務類-雜項,90.54,8.42
89年9月,總指數[含食物],85.2,1.8
89年9月,商品類[含食物],81.9,0.91
89年9月,商品類[不含食物],101.74,1.02
89年9月,商品類-非耐久性消費品[含食物],69.88,1.56
89年9月,商品類-非耐久性消費品[不含食物],89.24,3.11
89年9月,商品類-半耐久性消費品,90.5,-1.31
89年9月,商品類-耐久性消費品,146.62,0.96
89年9月,服務類,87.64,2.48
89年9月,服務類[不含食物],89.84,2.92
89年9月,服務類-外食費,77.33,-0.05
89年9月,服務類-衣著,86.31,4.06
89年9月,服務類-居住,99.42,0.25
89年9月,服務類-交通及通訊,92.75,4.9
89年9月,服務類-醫藥保健,76.18,0.63
89年9月,服務類-教養娛樂,72.36,8.03
89年9月,服務類-教養,91.27,7.43
89年9月,服務類-娛樂,56.37,8.78
89年9月,服務類-雜項,93.28,3.06
89年10月,總指數[含食物],85.38,1.2
89年10月,商品類[含食物],82.59,-0.36
89年10月,商品類[不含食物],104.93,0.29
89年10月,商品類-非耐久性消費品[含食物],68.39,0.46
89年10月,商品類-非耐久性消費品[不含食物],87.71,3.93
89年10月,商品類-半耐久性消費品,102.74,-2.3
89年10月,商品類-耐久性消費品,144.26,-0.88
89年10月,服務類,87.41,2.39
89年10月,服務類[不含食物],89.56,2.81
89年10月,服務類-外食費,77.33,-0.05
89年10月,服務類-衣著,86.31,4.06
89年10月,服務類-居住,99.31,0.16
89年10月,服務類-交通及通訊,92.78,5.31
89年10月,服務類-醫藥保健,76.18,0.63
89年10月,服務類-教養娛樂,72.49,8.79
89年10月,服務類-教養,91.27,7.46
89年10月,服務類-娛樂,56.6,10.46
89年10月,服務類-雜項,90.54,0.4
89年11月,總指數[含食物],85.83,2.19
89年11月,商品類[含食物],83.73,1.82
89年11月,商品類[不含食物],105.23,0.44
89年11月,商品類-非耐久性消費品[含食物],69.75,3.72
89年11月,商品類-非耐久性消費品[不含食物],87.78,3.39
89年11月,商品類-半耐久性消費品,104.21,-0.88
89年11月,商品類-耐久性消費品,143.11,-1.43
89年11月,服務類,87.31,2.5
89年11月,服務類[不含食物],89.48,2.98
89年11月,服務類-外食費,77.19,-0.23
89年11月,服務類-衣著,86.31,4.06
